latitude,longitude,name,address,location,description,features,price_range,bed,bath,square_feet
32.29763,-110.97316,Promontory,"60 W Stone Loop, Tucson, AZ 85704",Catalina Foothills,"Our pet-friendly community welcomes you to Promontory, where you will find one and two bedroom apartments with easy access to the Rillito river walk and excellent schools. Plus, you are only minutes from some of the best restaurants, shopping, and entertainment Tucson, AZ has to offer.","9 Foot Ceilings,Extended Flooring,French Doors,Oversized Closets,Range,Wooden Shutters,All Electric Kitchen,Beautiful Landscaping,Breakfast Bar,Online Rent Payment Available,Outdoor Basketball Court,Private Balconies and Patios,Quartz Countertops,Ask About Our Preferred Employer Program,Extra Storage,Half Indoor Basketball Court,Picnic Area,Central Air and Heat,Easy Access to Freeways and Shopping,Carpeted Floors,Poolside Gas Grills,Preferred Employee Program,Shimmering pools,Dishwasher,Linen Closets,Refrigerator","$885 - $3,540",Studio - 2 bd,1 ba,418 - 759 sq ft
32.2219,-110.96617,Agave 350,"350 E Congress St, Tucson, AZ 85701",Iron Horse,"Your final destination is Agave 350! These downtown luxury apartments place you just moments away from the streetcar line in the heart of downtown Tucson. Choose from our studio, 1, 2, and 3-bedroom floor plans, each well-equipped with everything you need to live comfortably, including fully equipped kitchens, in-unit laundry, and large central living spaces. In addition, our apartments feature resort-style amenities such as our swimming pool/hot tub, fitness center, computer lounge, and more. Our friendly leasing staff is here to make your move as seamless as possible. Live freely at Agave 350!","Water bottle re-fill station,Media Room,Stackable In-Unit Washer & Dryer,Kitchen with Stainless Steel Appliances,Recycle bins all around property,Emergency Maintenance,Vending Machines,Fitness Center,Monthly Resident Events,Washer and Dryer in Every Unit,Indoor Fireplace-Lobby,Maintenance,Resort Style Heated Pool,Courtesy Patrol,Online Billing,Rooftop Lounge with Firepit","$1,300 - $2,580",Studio - 3 bd,1 - 3 ba,"431 - 1,430 sq ft"
32.24749,-110.92467,Midtown on Seneca,"3201 E Seneca St, Tucson, AZ 85716",Palo Verde,"Midtown on Seneca Apartments, We offer spacious one bedroom apartments and two and three-bedroom townhomes. We're located in beautiful Tucson, Arizona and perfectly nestled in the Palo Verde Neighborhood. Located just minutes from E. Grant Road with easy access to the University of Arizona, shopping, restaurants, and entertainment venues. We offer spacious one, two, and three-bedroom apartments that include a breakfast bar, kitchen with upgraded cabinets, large closets, high ceilings, patio/balcony, and more.Midtown on Seneca offers you a lifestyle of comfort and convenience. Community amenities include a pool, onsite basketball court, playground, picnic area with BBQ grills, and laundry facility. We are also a pet-friendly community! Call us today to schedule a tour and see why our residents love living at Midtown on Seneca.","Beautiful Landscaping,Shimmering Swimming Pool,Access to Public Transportation,High Ceilings,Refrigerator,BBQ/Picnic Area,Dishwasher,Pet Park,Tile Floors,Wood-Grain Vinyl,3 Laundry Facilities,Air Conditioner,Ample Parking,Cable Ready,Pantry,Patio/Balcony,Breakfast Bar,On-Site On-Call Maintenance","$899 - $1,399",1 - 3 bd,1 - 2 ba,"605 - 1,092 sq ft"
32.19718,-110.88862,Villas de la Montana,"4880 E 29th St, Tucson, AZ 85711",Davis-Monthan AFB,"Welcome home to Villas de la Montaña! Adjacent to Freedom Public Park, our community aims to place residents where they want to be. Shopping and dining at Park Place Mall is within reach and Villas de la Montaña is also close to IBM and Raytheon. We are also just minutes from Davis Monthan Air Force Base. Find the apartment home just right for your taste-choose from our studio, one, two and three bedroom floor plans. At Villas de la Montaña our apartment features include fully equipped kitchens, air conditioning, spacious living areas and private patios and balconies.  We are also happy to welcome your pet upon approval! In addition to these comforts our community has been outfitted with amenities that add value to your lifestyle. Entertain friends and family in our inviting grounds or enjoy a refreshing dip in our swimming pool. We thought of everything to bring you the ultimate in apartment living - come home to Villas de la Montaña Apartments. Contact our leasing professionals today to learn more.","Pool,Fitness Center,Laundry Facilities,Furnished Units Available,Air Conditioning,Dishwasher,High Speed Internet Access,Walk-In Closets,Refrigerator,Tub/Shower,Patio,Ceiling Fans","$749 - $1,249",Studio - 3 bd,1 - 3 ba,390 - 937 sq ft
32.1637,-110.94373,El Conquistador,"1881 E Irvington Rd, Tucson, AZ 85714",Ward 5,"Welcome to El Conquistador apartments in Tucson, AZ. From the moment, you walk through the front door you'll feel the comfort that makes our residents happy to call us home. Cutting edge amenities, meticulously-groomed grounds, and a dedicated staff contributes to a higher standard of living. Convenient shopping, schools, local museums and parks are all close at hand, with sponsored activities to develop new hobbies while getting to know your neighbors.","Fitness Center,Laundry Facilities,Clubhouse,24 Hour Access,Dishwasher,High Speed Internet Access,Refrigerator,Tub/Shower",$759 - $928,Studio - 2 bd,1 ba,"327 - 1,140 sq ft"
32.22637,-110.97918,Presidio Palms Apartments,"475 N Granada Ave, Tucson, AZ 85701",Downtown Tucson,"Presidio Palms is the newest luxury community for you to call home! You can look forward to first-class amenities featuring a resort style pool, clubhouse, fitness center with yoga room, full service coffee bar with cafe seating, arcade, sand volleyball court, outdoor game lawn & kitchen, and much more slated for completion by October 2023. Our pet-friendly community offers studio and one bedroom floor plans with ground floor patios and luxury interior finishes. Situated only one mile from downtown Tucson, seconds away from the I-10, and 20 minutes from Saguaro National Park. 24-hour on-call maintenance by experienced professionals gives you the relief of knowing you will be taken care of at any time of the day. You won’t want to miss this opportunity to join our soon-to-be beautiful community today! Come take a tour and ask about our move-in special!","Ground Floor Patios,Stainless Steel Appliances,HVAC,Outdoor Kitchen & Seating,Quartz Countertops,Smart Access Door Lock,Cornhole & Outdoor Game Lawn,High Speed Fiber Optic WiFi,Sterling Plus Package,Coffee Bar with Café Seating,Modern Fixtures,Walk-in Closets,Washer/Dryer in unit,Recreation Room","$1,050 - $1,650",Studio - 1 bd,1 ba,315 - 740 sq ft
32.26264,-110.79758,Casitas Catalina,"9125 E Catalina Hwy, Tucson, AZ 85749",Tanque Verde,"Brand New One, Two and Three Bedrooms! Coming Soon! Casitas Catalina brings innovative lifestyle choices to those seeking the best of both words - a luxury single-family home with maintenance-free living. No mortgage. No maintenance. No shared walls (aside from our 1 bedroom's). Finally, convenient, carefree living on your terms, and a leased home you can call your own.","Energy Efficient Stainless Appliances,Full-size Washer & Dryer,Kitchen Island,Kitchen Islands,Controlled Access/gated,Ring Camera Doorbell,Fiber Optic Internet Included in Rent,Smart Locks,Energy Efficient Appliances,Private Walled Backyard,Private Walled Backyards,Walk-in Closets,200MB Wifi Speed Included in Rent,Ceiling Fans,Resort Style Pool,10 Foot High Ceilings,200 Md Fiber Optic Internet Included,Smart Thermostat,Wood Style Flooring Throughout,Quartz Countertops,Relaxing Hot Tub","$1,575 - $2,349",1 - 3 bd,1 - 2 ba,"634 - 1,252 sq ft"
32.39362,-110.99416,Oro Vista,"1301 W Lambert Ln, Oro Valley, AZ 85737",Oro Valley,"This property is managed by Beztak, 2023 recipient of the US Best Managed Companies for the fourth year in a row, sponsored by Deloitte Private and The Wall Street Journal. Call and let us tell you why!Just minutes from the front gates of our community, you will feel right at home. With views of the Santa Catalina Mountains in the heart of the Oro Valley, the luxury community will literally take your breath away. When you can pull yourself away from that spectacular view, we think you’ll find our luxury apartments to be beyond compare. Our gated community boasts several high-end features like a heated pool and spa, clubhouse and veranda with fireplace for any of your entertainment needs and a fitness and business center for the ultimate in convenience. Virtual and Contact-Free Leasing and Move-In Available - Self-Guided Tours with Lockboxes- FaceTime/Skype Tours- Apply & Sign Online","Cozy fireplace,Satin nickel hardware throughout,State-of-the-art fitness center,Courtyard and mountain view,Interior Patio/Balcony,24-hour emergency maintenance service,Fairway mountain view,1st floor,Attached garage parking available,Pool and mountain view,Relaxing spa,Tantalizing heated pool,Windows fitted with designer selected blinds,2nd floor,Laundry room with full-size GE washer and dryer,Complimentary reserved covered parking,Controlled access community,Private entrance for each residence,Spectacular views,Carport,Clubhouse veranda with fireplace,Pool view,Soft hued paint accented with white paneled doors,Sunset view,3rd floor,Courtyard view,Interior fire-sprinkler system","$1,572 - $2,479",1 - 3 bd,1 - 2 ba,"800 - 1,300 sq ft"
32.33692,-111.0345,Domain 3201,"3201-3225 W Ina Rd, Tucson, AZ 85741",Casas Adobes,"Immersed within the affluent desert landscape of northern Tucson, Domain 3201 commands a prime position with direct access to professional and lifestyle amenities. Offering one-, two-, and three-bedroom apartment homes with fully equipped kitchens, full size washers and dryers, spacious walk-in closets, private patios, and outdoor storage. Domain 3201 offers vast resort style amenities including three swimming pools and two spas with outdoor cabanas, dog park with agility equipment, state of the art fitness center including an outdoor fit zone, full-size tennis court, and so much more! Located just off the I-10 Freeway, Domain 3201 is just minutes from schools, Foothills Mall, shopping, dining and entertainment!","Air Conditioner,Ceiling Fan*,Private Patio/Balcony,Fireplace*,Full Size Washer and Dryer,24-Hour Fitness Center with TRX Cage,Covered Carport Parking*,Gas and Charcoal BBQ's with Picnic Seating Areas,Individual Climate Control,Two Spas,24-Hour Business Center with WiFi,Stainless-Steel Appliances*,Walk-In Closets with Built-In Shelving,Yoga Studio,Dog Station's Throughout Community,Extra Storage,Large Closets,Outdoor Fitness Center,Upgraded Lighting Fixtures,Wood-Style Vinyl Flooring,Storage Space,Three Pools,Upgraded Apartment Homes,Upgraded Plumbing Hardware,VIP Uncovered Parking*,Dog Park,Outdoor Gaming Area,Custom Screen/Shading on Select Patio/Balconies,Pickleball Courts","$1,199 - $1,775",1 - 3 bd,1 - 2 ba,"524 - 1,082 sq ft"
32.23518,-110.95838,Urbane,"1023 N Tyndall Ave, Tucson, AZ 85719",West University,We are now accepting in-person tours via scheduled appointments only. Our virtual tours are also available. Please schedule yours today.,"Controlled Access 24/7,Granite Countertops,Oversized Hot Tub,Refrigerator,Full Size Washer & Dryer,Fully Furnished Units,Hot Tub,42"" Smart TV in All Living Rooms,Courtesy Patrol 7 Nights/Week,Outdoor Grilling Area with Fire Pits,Secure Bike Storage,Sound System,High speed internet,Huge Rooftop Deck,Poolside Cabanas,Stainless Steel,*Sound System,Expansive Rooftop Club & Game Lounge,Private Bedrooms,Rooftop Pool with Sundeck & Lounge Chairs,Steam Rooms,Fully Equipped Kitchen,Private Bathrooms","$1,220 - $2,199",Studio - 5 bd,1 - 5 ba,"266 - 2,586 sq ft"
32.34781,-111.09727,Album Marana 55+ Active Adult Apartments,"7760 N Silverbell Rd, Marana, AZ 85743","Acacia Trails


Leasing Office:

7620 Hartman Ln, Tucson, AZ 85743","Find your new apartment at Album Marana 55+ Active Adult Apartments in Marana, AZ. This property is situated at 7760 N Silverbell Rd in the Acacia Trails area of Marana. The leasing staff is eager to show you our community. It's time to love where you live. Stop by for a visit today.","Health Club,Ceiling Fans in Living Room and Bedrooms,Chrome Fixtures with Gooseneck Faucets,Coffee Bar,Game Lawn,Pet Park,Media Lounge,Outdoor Kitchen and Grills,Stainless Steel Appliance Package,Pet Wash,Yoga Lawn & Deck,Creative Arts,Package Lockers,Plush Carpeting in Bedrooms,Granite Countertops","$1,550 - $3,450",1 - 2 bd,1 - 2.5 ba,"681 - 1,359 sq ft"
32.22439,-110.96647,ARI on Fourth,"213 N 4th Ave, Tucson, AZ 85705","Iron Horse


Leasing Office:

218 N 4th Ave, Tucson, AZ 85705","NOW LEASING! Ari on Fourth is Tucson's newest luxury community, set to deliver in the Fall of 2024! Ari is located right on Historic Fourth Avenue, steps from a Sun Link stop, from local hot spot bars and restaurants, and from the University of Arizona. With a wide variety of floor plans and an extensive list of amenities, Ari on Fourth has everything you need to feel comfortable! Want to make sure your furry friend is happy too? Ari on Fourth is pet friendly, and offers amenities geared towards our four-legged friends.","Assigned parking and EV Charging Stations,Expansive Sun deck pool and hot tub,Access To Reduced Rate Transit Passes,Ev Charging Stations,Co working and study rooms on multiple floors,Comming soon,Fitness Center with state of the art equipment,Brand New,Club Room with TV’s, wet bar, pool table and lounge space,Dog play Area and Pet Washing Room,Outdoor terrace lounge,Conference Lounge,Onsite Retail And Restaurants,Outdoor Lounges With Downtown Views,Adjacent To Historic 4th Avenue,Library study,Outdoor Dining and Grilling Area,Sauna and wellness room,Resort Style Pool,High Speed WiFi throughout building","$1,675 - $4,482",1 - 4 bd,1 - 4 ba,"392 - 1,598 sq ft"
32.22812,-110.96668,The District on 5th,"550 N 5th Ave, Tucson, AZ 85705",Tucson,We are now accepting in-person tours via scheduled appointments only. Our virtual tours are also available. Please schedule yours today.,"Hot Tub,Clubhouse Renovations Coming Soon,After-Hours Security,Stainless Steel Appliances,High Speed Internet,Study Lounge,Stainless Steel,Granite Countertops,Refrigerator","$925 - $1,110",3 - 4 bd,2 - 4 ba,"1,077 - 1,296 sq ft"
32.4045,-110.99454,Golf Villas Apartments,"10950 N LaCanada Dr, Tucson, AZ 85737",Tucson,"This property is managed by Beztak, 2023 recipient of the US Best Managed Companies for the fourth year in a row, sponsored by Deloitte Private and The Wall Street Journal. Call and let us tell you why! The Golf Villas at Oro Valley offer luxurious living directly on the El Conquistador golf course. This is truly the most prestigious community in the Oro Valley, with breathtaking views of the Catalina Mountains and beautifully appointed spacious apartment homes with top-of-the-line amenities. Relax and unwind beside our two sparkling pools, or take the short drive into Tucson for world-class shopping, entertainment and dining. Our one, two and three-bedroom luxury apartment homes are designed for those who insist on only the finest. Gourmet kitchens with sleek granite countertops, lofty nine-foot ceilings, cozy gas fireplaces and jetted soaking tubs are only a few of the top-of-the-line amenities you’ll find in our homes.","2 sparking outdoor pools and spas,Carpeting,Flexible lease terms,Large verandas with breath taking views,Located in prestigious Oro Valley,2nd floor,Disposal,European tile in bathrooms,Extra Storage,Golf and city view,Large Closets,Luxurious jetted soaking tub,Mountain view,Security Alarm,Upper pool view,View of golf course,Built-in intrusion alarm,Gourmet kitchens featuring glass front cabinetry,Patio/Balcony,View of east golf course,1st floor,All Units Fully Renovated,Cable Ready,Elegant wood style flooring,Fully renovated apartment,Golf and mountain view,Premium view,Wash view,3rd floor,Beautifully decorated clubhouse,Bike Racks,Ceiling Fan,Close to Catalina State Park,Fireplace in select units,In-home washer and dryer,Lofty 9 foot ceilings,Lower pool view,Spacious split 2 bedroom floor plans,Air Conditioner,Beautiful golf course location,Carport,Culdesac,Refrigerator,Sleek granite countertops,West course view,BBQ/Picnic Area,Courtyard,Dishwasher,Microwave,View,Beautiful goosenecked faucets,Convenient to shopping and entertainment,Cozy gas fireplace,Culdesac and wash view,Electronic Thermostat,New ambient lighting package,Wireless internet cafe and coffee bar","$1,350 - $2,272",1 - 3 bd,1 - 2 ba,"809 - 1,368 sq ft"
32.35003,-110.98056,Cortland North Tucson,"699 W Magee Rd, Tucson, AZ 85704",Oro Valley,"Located 20 minutes away from Downtown Tucson and with walkability to groceries, shops, and quick-bite, our community offers a world of opportunity at your front door. Features like granite countertops and wood-style flooring will make you proud to call any of our one, two, or three-bedroom apartments home.Convenience to I-10 and major employers like The University of Arizona and Oro Valley Hospital makes your everyday commute a breeze.And when you’re considering your weekend (or weeknight) plans, you have plenty of options for shopping, dining, and recreation nearby.Stroll through Tohono Chul’s colorful gardens and exhibits, tee off at one of many surrounding world-class golf courses like Tucson National Golf Course, or head into Downtown Tucson to explore its lively arts, dining, and nightlife scene.No matter what your day looks like, you’ll come home to the hospitality and service of a community team dedicated to you.","24/7 Fitness Center,Cortland’s Live Easy Guarantees,Additional Outdoor Storage Available,Elevate Fitness Experience and Free Group Classes,In-home, Full-size Washer And Dryer Sets,Outdoor Lounge with Gas Grills,Covered Parking Available,Granite Countertops,Scenic Mountain Views,Spacious Walk-in Closets,Wood-style Flooring,Double-sink Vanities *,Leash-Free Bark Park,Elevate Fitness Experience,Living Room Ceiling Fans,Stainless Steel Appliances,Custom Cabinetry With Designer Hardware,All-new Resident Clubhouse,Coffered/vaulted Ceilings *,Outdoor Fire Pit,Resident Clubhouse with WiFi and HDTV's","$1,377 - $1,977",1 - 3 bd,1 - 2 ba,"834 - 1,330 sq ft"
32.27548,-110.87073,Hilands,"5755 E River Rd, Tucson, AZ 85750",Catalina Foothills,"Apartments in Tucson, AZ Located in Tucson, AZ, Hilands offers studio, one and two bedroom homes in the gorgeous Catalina Foothills. Our pet friendly community offers comfortable apartment homes and active community amenities fit for any lifestyle.","Covered Carport Parking Available,In-Home Washer & Dryer*,Preinstalled WiFi w/ First Month Free from Cox,Spacious Walk-In Closets,Wood-Style Flooring Throughout*,Energy-Efficient Kitchen Appliances,English & Spanish Speaking Staff,Monthly Resident Events,Nearby Public Parks,Non-Smoking Community,Breakfast Bar,Bridge Credit Plus,Easy & Secure Online Rent Payments,Outdoor Grilling & Picnic Areas,Private Patio or Balcony,Central Heating & Air,Outdoor Basketball 1/2 Court,Variable-Speed Ceiling Fans,Bridge Living App,Quartz Countertops*,Soccer Field,Community Fire Pit,Cross Fit Room,Designer Soft-Close Cabinetry*,Dog Park w/ Agility Training Equipment,Spectacular Views Available,Extra Storage Space,Linen Closets","$902 - $2,011",Studio - 2 bd,1 ba,418 - 759 sq ft
32.28626,-110.95721,Riverwalk Luxury Apartments,"850 E Wetmore Rd, Tucson, AZ 85719",Campus Farm,"Riverwalk Luxury Apartments is a beautiful apartment home community located in Tucson, Arizona. Our neighborhood is close to the University of Arizona and Pima Community College making for an easy commute. You'll be pleased to know we are within walking distance to shopping, dining, and entertainment venues for all the fun and excitement you'll need. If location and convenience are important factors in your lifestyle, Riverwalk Luxury Apartments is the perfect apartment community for you.","Washer and Dryer in Home,Parking","$1,100 - $1,795",1 - 4 bd,1 - 4 ba,"477 - 1,320 sq ft"
32.34636,-111.09802,Silverbell Springs,"7759 N Silverbell Rd, Tucson, AZ 85743",Tucson,"Welcome to Silverbell Springs in beautiful Tucson, AZ, where premier luxury living meets comfort and convenience. Our spacious one, two, and three-bedroom apartments are sure to impress, with unique, luxurious interior features such as granite counters, stainless steel appliances, wood-style flooring, walk-in closets, and updated cabinets and hardware. Outside your front door, you'll experience top-quality amenities, such as a resort-style pool with fire pits and gas grilling stations, a full-body fitness center, playground, wifi lounge, and resident clubhouse. With much more to come, we can't wait to show you how you can live to the fullest at Silverbell Springs.","Resident Clubhouse,Resort-style Pools,Military Welcome,Near Tucson Premium Outlets,Quick and Easy Access to I-10,Attached Garage,King-Sized Bedroom,Roman-Style Tub,Wood-style Vinyl Plank Flooring,Controlled Access,Granite Countertops,Other,Full Size Washer/Dryer in Unit,Pantry,Preferred Employer Discounts,24-hour Maintenance,Charcoal & Gas Grills,9' Ceilings,Ceramic Tile Entries,Covered Parking,Energy Star Appliances","$1,425 - $2,195",Studio - 3 bd,1 - 2 ba,"718 - 1,390 sq ft"
